FID,Town_ID,Name,County,Pop_2010,Pop_2000,Pop_1990,Type,Lon,Lat,Elevation,Alt_Names,Max_2010,Max_2000,Max_1990,GeoID10,Shifted
247,248,Carlyle,Wibaux,0,2,2,2-mile diameter circle,-104.072998,46.6570015,3163, ,1,6,9, ,1
248,249,Carter,Chouteau,58,60,67,Census Designated Place,-110.9560013,47.78110123,3123, ,58,62,76,3012625,0
249,250,Cartersville,Rosebud,5,6,3,2-mile diameter circle,-106.4670029,46.29940033,2503, ,151,153,177, ,0
250,251,Centerville,Cascade,39,30,43,Manually defined region,-111.1429977,47.38970184,3471, ,238,299,254, ,0
251,252,Chance,Carbon,33,25,29,2-mile diameter circle,-109.0630035,45.01190186,3996, ,67,63,37, ,0
252,253,Checkerboard,Meagher,6,18,10,2-mile diameter circle,-110.5469971,46.57239914,5233, ,12,22,24, ,0
253,254,Chico,Park,19,4,4,2-mile diameter circle,-110.7050018,45.32099915,5423, ,79,94,79, ,0
254,255,Childs,Sanders,76,69,45,2-mile diameter circle,-115.4869995,47.7784996,2385, ,240,184,199, ,0
255,256,Christina,Fergus,11,5,8,2-mile diameter circle,-109.3249969,47.38399887,3579, ,99,113,56, ,1
256,257,Churchill,Gallatin,902,573,322,Census Designated Place,-111.3040009,45.75080109,4567,Shown as Church Hill in previous version,902,771,748,3014875,0
257,258,Clarkston,Gallatin,52,21,10,"2-mile diameter circle, Part of a CDP",-111.4140015,46.0298996,3980,Partly in the Ponderosa Pines CDP (3058840),110,79,157, ,0
258,259,Clearwater,Missoula,12,8,4,2-mile diameter circle,-113.3779984,47.00019836,3825, ,142,86,71, ,0
259,260,Cleveland,Blaine,4,3,1,2-mile diameter circle,-109.1529999,48.26940155,3507, ,27,23,72, ,0
260,261,Cline,Yellowstone,258,243,226,2-mile diameter circle,-108.4089966,45.88219833,3143, ,1004,1137,861, ,0
261,262,Coalridge,Sheridan,6,10,8,2-mile diameter circle,-104.1880035,48.69760132,2178, ,29,50,47, ,1
262,263,Coalwood,Powder River,2,4,3,2-mile diameter circle,-105.5910034,45.72809982,3346, ,19,33,22, ,0
263,264,Coffee Creek,Fergus,22,16,24,2-mile diameter circle,-110.0820007,47.34780121,3606, ,64,39,60, ,0
264,265,Cohagen,Garfield,4,2,8,2-mile diameter circle,-106.6179962,47.0544014,2720, ,14,8,59, ,0
265,266,Collins,Teton,6,7,4,2-mile diameter circle,-111.8099976,47.92829895,3517, ,24,32,28, ,0
266,267,Conner,Ravalli,216,92,42,Census Designated Place,-114.125,45.93069839,4029, ,216,548,470,3017200,0
267,268,Contact,Park,11,12,7,2-mile diameter circle,-110.2259979,45.50830078,5197, ,15,33,56, ,0
268,269,Content,Phillips,1,5,3,2-mile diameter circle,-107.5599976,48.02059937,2336, ,12,23,26, ,0
269,270,Cooke City,Park,75,114,58,Census Designated Place,-109.9339981,45.01959991,7579, ,75,142,85,3017350,1
270,271,Coram,Flathead,539,498,339,Census Designated Place,-114.0459976,48.41799927,3186, ,539,638,613,3017500,0
271,272,Corbin,Jefferson,40,27,40,"2-kilometer diameter circle, Part of a CDP",-112.0619965,46.38050079,4770,Part of the Jefferson City CDP (3039400),276,104,351, ,0
272,273,Corwin Springs,Park,109,126,57,Census Designated Place,-110.7890015,45.11190033,5144, ,109,486,648,3017800,1
273,274,Crackerville,Deer Lodge,33,35,24,2-kilometer diameter circle,-112.8050003,46.0646019,5039, ,78,95,47, ,0
274,275,Craig,Lewis And Clark,43,53,45,Census Designated Place,-111.9629974,47.07440186,3461, ,43,75,57,3018025,0
275,276,Crane,Richland,102,83,102,Census Designated Place,-104.2570038,47.57730103,1946, ,102,149,196,3018100,1
276,277,Creston,Flathead,208,129,98,2-mile diameter circle,-114.137001,48.18939972,2956, ,454,326,367, ,0
277,278,Cushman,Golden Valley,8,13,13,2-mile diameter circle,-109.0429993,46.28829956,3550, ,18,23,27, ,0
278,279,Cyr,Mineral,26,21,12,2-mile diameter circle,-114.5800018,47.00889969,2969, ,154,120,98, ,1
279,280,Dagmar,Sheridan,16,11,21,2-mile diameter circle,-104.197998,48.58340073,2034, ,36,51,76, ,0
280,281,Danvers,Fergus,9,15,8,2-mile diameter circle,-109.7170029,47.22529984,3560, ,14,24,52, ,0
281,282,Dayton,Lake,84,86,60,Census Designated Place,-114.2789993,47.86579895,2910, ,84,169,157,3019525,0
282,283,De Borgia,Mineral,78,69,28,Census Designated Place,-115.3460007,47.37580109,3054, ,78,196,250,3019675,0
283,284,Dean,Stillwater,18,29,2,2-mile diameter circle,-109.6900024,45.40470123,5230, ,27,68,121, ,0
284,285,Decker,Big Horn,1,3,0,2-mile diameter circle,-106.862999,45.01190186,3517, ,2,7,18, ,0
285,286,Deerfield Colony,Fergus,23,25,30,2-mile diameter circle,-109.677002,47.25970078,3445, ,56,56,88, ,0
286,287,Dell,Beaverhead,27,37,21,2-mile diameter circle,-112.697998,44.72330093,6010, ,73,96,134, ,1
287,288,Delphia,Musselshell,4,6,8,2-mile diameter circle,-108.2190018,46.50469971,3054, ,27,37,145, ,0
288,289,Devon,Toole,2,3,1,2-mile diameter circle,-111.4789963,48.46670151,3110, ,39,43,43, ,0
289,290,Dewey,Beaverhead,18,19,5,2-mile diameter circle,-112.8550034,45.77709961,5489, ,55,75,133, ,0
290,291,Divide,Silver Bow,36,46,21,2-mile diameter circle,-112.7470016,45.75099945,5390, ,61,125,120, ,0
291,292,Dunkirk,Toole,13,11,2,2-mile diameter circle,-111.6640015,48.47800064,3304, ,40,28,30, ,0
292,293,Dunmore,Big Horn,107,104,79,2-mile diameter circle,-107.5049973,45.67860031,2963, ,229,376,317, ,0
293,294,Dupuyer,Pondera,86,63,53,Census Designated Place,-112.4990005,48.19250107,4127, ,86,208,194,3022450,0
294,295,DY Junction,Phillips,1,0,9,2-mile diameter circle,-108.6340027,47.79560089,3219, ,4,0,30, ,0
295,296,Eagleton,Chouteau,2,2,2,2-mile diameter circle,-109.7819977,47.94499969,3304, ,37,48,47, ,0
296,297,East Missoula,Missoula,2157,2043,1688,Census Designated Place,-113.9449997,46.87080002,3264, ,2157,2073,2196,3023200,0
297,298,Eddy,Sanders,38,24,13,2-mile diameter circle,-115.1330032,47.55830002,2421, ,110,130,282, ,0
298,299,Eden,Cascade,4,5,4,2-mile diameter circle,-111.2720032,47.27000046,3881, ,110,135,73, ,0
299,300,Edgar,Carbon,114,100,76,Census Designated Place,-108.8519974,45.46469879,3465, ,114,168,126,3023500,0
300,301,Elkhorn,Jefferson,10,7,4,Census Designated Place,-111.9459991,46.27460098,6447, ,10,81,89,3023865,0
301,302,Elliston,Powell,219,214,83,Census Designated Place,-112.4309998,46.56219864,5056, ,219,349,247,3023950,0
302,303,Elmo,Lake,180,140,99,Census Designated Place,-114.3499985,47.83050156,2913, ,180,159,231,3024100,0
303,304,Elso,Musselshell,7,5,5,2-mile diameter circle,-108.677002,46.34859848,3268, ,139,188,246, ,0
304,305,Elton,Park,5,2,4,2-mile diameter circle,-110.3079987,45.69580078,4285, ,24,30,84, ,0
305,306,Emigrant,Park,488,282,221,Census Designated Place,-110.7350006,45.36899948,4888, ,488,818,958,3024325,1
306,307,Enid,Richland,1,1,4,2-mile diameter circle,-104.7799988,47.6955986,2411, ,20,18,67, ,0
307,308,Epsie,Powder River,2,2,2,2-mile diameter circle,-105.651001,45.49169922,3363, ,43,25,97, ,0
308,309,Essex,Flathead,33,34,2,2-mile diameter circle,-113.612999,48.27799988,3868, ,45,83,54, ,0
309,310,Ethridge,Toole,17,17,2,2-mile diameter circle,-112.1210022,48.55780029,3543, ,56,45,53, ,0
310,311,Evaro,Missoula,731,708,486,Manually defined region,-114.0889969,47.03509903,3983,Includes the Evaro CDP (3025000),756,1206,945, ,1
