Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-115.052002,48.87929916,Eureka,Lincoln,1037,1018,1035,Incorporated Place
-111.9800034,47.61420059,Fairfield,Teton,708,635,637,Incorporated Place
-104.0449982,47.85329819,Fairview,Richland,840,708,869,Incorporated Place
-105.1760025,48.80319977,Flaxville,Daniels,71,79,85,Incorporated Place
-106.6800003,46.26689911,Forsyth,Rosebud,1777,1904,2152,Incorporated Place
-108.7590027,48.48300171,Fort Belknap Agency,Blaine,1293,1326,1096,Census Designated Place
-110.6729965,47.81940079,Fort Benton,Chouteau,1464,1589,1656,Incorporated Place
-106.4489975,48.00880051,Fort Peck,Valley,233,240,197,Incorporated Place
-106.0449982,48.05860138,Frazer,Valley,362,427,378,Census Designated Place
-108.9079971,45.39289856,Fromberg,Carbon,438,483,366,Incorporated Place
-110.2659988,47.60309982,Geraldine,Chouteau,261,284,300,Incorporated Place
-106.6389999,48.19630051,Glasgow,Valley,3250,3219,3535,Incorporated Place
-104.7149963,47.1053009,Glendive,Dawson,4935,4722,4796,Incorporated Place
-111.3010025,47.49959946,Great Falls,Cascade,58505,56874,55386,Incorporated Place
-114.1589966,46.24739838,Hamilton,Ravalli,4348,3815,3023,Incorporated Place
-108.7850037,48.53250122,Harlem,Blaine,808,843,876,Incorporated Place
-109.8349991,46.43590164,Harlowton,Wheatland,997,1049,1035,Incorporated Place
-108.6949997,47.99069977,Hays,Blaine,843,777,562,Census Designated Place
-112.8359985,48.2826004,Heart Butte,Pondera,582,697,498,Census Designated Place
-110.4219971,48.55419922,Hingham,Hill,118,157,181,Incorporated Place
-114.6669998,47.6086998,Hot Springs,Sanders,544,544,420,Incorporated Place
-107.2340012,46.29299927,Hysham,Treasure,312,328,359,Incorporated Place
-104.7959976,46.50049973,Ismay,Custer,19,26,19,Incorporated Place
-108.9710007,45.48600006,Joliet,Carbon,595,567,515,Incorporated Place
-106.9120026,47.3205986,Jordan,Garfield,343,358,481,Incorporated Place
-109.7519989,46.67739868,Judith Gap,Wheatland,126,163,132,Incorporated Place
-114.310997,48.19509888,Kalispell,Flathead,19927,15218,12929,Incorporated Place
-111.9649963,48.74850082,Kevin,Toole,154,175,185,Incorporated Place
-106.6660004,45.62329865,Lame Deer,Rosebud,2052,2016,1917,Census Designated Place
-108.7730026,45.6697998,Laurel,Yellowstone,6718,6240,5643,Incorporated Place
-109.4290009,47.06240082,Lewistown,Fergus,5901,5952,6098,Incorporated Place
-115.5540009,48.38759995,Libby,Lincoln,2628,2834,3038,Incorporated Place
-112.5920029,44.63479996,Lima,Beaverhead,221,238,257,Incorporated Place
-110.560997,45.6631012,Livingston,Park,7044,7091,7011,Incorporated Place
-114.0820007,46.75780106,Lolo,Missoula,3892,3390,2721,Census Designated Place
-107.8759995,48.35900116,Malta,Phillips,1997,2072,2284,Incorporated Place
-111.3320007,45.85720062,Manhattan,Gallatin,1520,1424,1087,Incorporated Place
-104.5080032,48.5007019,Medicine Lake,Sheridan,225,274,358,Incorporated Place
-107.8690033,46.59840012,Melstone,Musselshell,96,136,166,Incorporated Place
-105.8430023,46.40879822,Miles City,Custer,8410,8478,8534,Incorporated Place
-113.9929962,46.87220001,Missoula,Missoula,66788,57051,49104,Incorporated Place
-109.6969986,46.9754982,Moore,Fergus,193,182,209,Incorporated Place
-106.3560028,48.13470078,Nashua,Valley,290,325,369,Incorporated Place
-110.7360001,46.93310165,Neihart,Cascade,51,91,53,Incorporated Place
-106.4089966,48.85739899,Opheim,Valley,85,108,142,Incorporated Place
-104.7789993,48.88909912,Outlook,Sheridan,47,82,109,Incorporated Place
-114.1190033,47.59909821,Pablo,Lake,2254,1810,1297,Census Designated Place
-113.2929993,46.33259964,Philipsburg,Granite,820,897,908,Incorporated Place
-114.2229996,46.33549881,Pinesdale,Ravalli,917,731,663,Incorporated Place
-114.8809967,47.4598999,Plains,Sanders,1048,1107,974,Incorporated Place
-104.5589981,48.7743988,Plentywood,Sheridan,1734,2034,2111,Incorporated Place
-104.5189972,46.41690063,Plevna,Fallon,162,136,140,Incorporated Place
-114.1620026,47.69309998,Polson,Lake,4488,4210,3556,Incorporated Place
-105.2009964,48.11249924,Poplar,Roosevelt,810,928,898,Incorporated Place
-109.2480011,45.18650055,Red Lodge,Carbon,2125,2166,1958,Incorporated Place
-115.1689987,48.8993988,Rexford,Lincoln,105,140,115,Incorporated Place
-114.0999985,47.52840042,Ronan,Lake,1871,1775,1510,Incorporated Place
-108.5429993,46.4455986,Roundup,Musselshell,1788,1921,1795,Incorporated Place
-107.3440018,48.45640182,Saco,Phillips,197,222,260,Incorporated Place
-114.0950012,47.31969833,Saint Ignatius,Lake,842,812,792,Incorporated Place
-105.4229965,48.79180145,Scobey,Daniels,1017,1079,1150,Incorporated Place
-111.8570023,48.50450134,Shelby,Toole,3376,3219,2790,Incorporated Place
-112.1959991,45.45619965,Sheridan,Madison,642,652,603,Incorporated Place
-104.1589966,47.71229935,Sidney,Richland,5191,4946,5401,Incorporated Place
-114.0920029,46.51029968,Stevensville,Ravalli,1809,1610,1281,Incorporated Place
-111.9110031,48.88199997,Sunburst,Toole,375,415,437,Incorporated Place
-114.8909988,47.19350052,Superior,Mineral,812,896,885,Incorporated Place
-105.3130035,46.79270172,Terry,Prairie,605,608,657,Incorporated Place
-115.3420029,47.59680176,Thompson Falls,Sanders,1313,1262,1328,Incorporated Place
-111.552002,45.89310074,Three Forks,Gallatin,1869,1725,1208,Incorporated Place
-111.5210037,46.31949997,Townsend,Broadwater,1878,1861,1639,Incorporated Place
-115.8929977,48.46260071,Troy,Lincoln,938,923,994,Incorporated Place
-112.3310013,45.54510117,Twin Bridges,Madison,375,400,374,Incorporated Place
-112.2490005,48.30699921,Valier,Pondera,509,494,516,Incorporated Place
-111.9449997,45.29339981,Virginia City,Madison,190,132,143,Incorporated Place
-111.1039963,44.66260147,West Yellowstone,Gallatin,1271,1166,906,Incorporated Place
-104.0510025,48.87039948,Westby,Sheridan,168,170,252,Incorporated Place
-110.9020004,46.54859924,White Sulphur Springs,Meagher,939,974,953,Incorporated Place
-114.3359985,48.41030121,Whitefish,Flathead,6357,5623,5041,Incorporated Place
-112.0970001,45.87139893,Whitehall,Jefferson,1038,1028,1057,Incorporated Place
-104.1880035,46.98960114,Wibaux,Wibaux,589,567,627,Incorporated Place
-109.3779984,47.55939865,Winifred,Fergus,208,156,150,Incorporated Place
-108.3529968,47.00279999,Winnett,Petroleum,182,185,188,Incorporated Place
-105.6429977,48.09000015,Wolf Point,Roosevelt,2621,2636,2839,Incorporated Place
-112.1829987,47.8125,Choteau,Teton,1684,1768,1741,Incorporated Place
-105.5879974,47.41719818,Circle,Mccone,615,626,794,Incorporated Place
-112.9520035,46.12799835,Anaconda,Deer Lodge,5913,5901,6606,Manually defined region
-109.9540024,45.83409882,Big Timber,Sweet Grass,1641,1645,1537,Incorporated Place
-105.4100037,45.44469833,Broadus,Powder River,468,455,573,Incorporated Place
-106.9560013,45.53699875,Busby,Big Horn,745,695,465,Census Designated Place
-112.5339966,46.00439835,Butte,Silver Bow,29140,29744,29882,Manually defined region
-107.4589996,45.60210037,Crow Agency,Big Horn,1616,1547,1459,Census Designated Place
-111.9150009,46.58990097,East Helena,Lewis and Clark,1984,1759,1599,Incorporated Place
-107.6139984,45.73320007,Hardin,Big Horn,3505,3396,2978,Incorporated Place
-112.0360031,46.5929985,Helena,Lewis and Clark,28190,26275,25010,Incorporated Place
-109.8730011,47.00040054,Hobson,Judith Basin,215,219,204,Incorporated Place
-108.9380035,46.29449844,Lavina,Golden Valley,187,209,151,Incorporated Place
-107.3649979,45.31520081,Lodge Grass,Big Horn,428,522,525,Incorporated Place
-108.5329971,45.42959976,Pryor,Big Horn,618,628,654,Census Designated Place
-109.2590027,46.29909897,Ryegate,Golden Valley,245,268,260,Incorporated Place
-110.2190018,47.15340042,Stanford,Judith Basin,401,463,533,Incorporated Place
