OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparency,SymbolID
496,LITTLE SNOWYS CAMP,campground,USFS,,,,N,46.763625,-109.111778,http://www.recreation.gov,,
497,LOGGING CREEK CG,campground,USFS,,,,Y,47.10111111,-111.0088889,http://www.recreation.gov,,
498,MANY PINES CAMPGROUND,campground,USFS,,,,Y,46.89805556,-110.6905556,http://www.recreation.gov,,
499,MILL FALLS CG,campground,USFS,,,,N,47.85888889,-112.7727778,http://www.recreation.gov,,
500,MOOSE CREEK CG,campground,USFS,,,,Y,46.83583333,-110.875,http://www.recreation.gov,,
501,MORTIMER GULCH CG,campground,USFS,,,,Y,47.60972222,-112.7697222,http://www.recreation.gov,,
502,PIERCE PARK DISPERSED,campground,USFS,,,,N,46.67847941,-110.3418962,http://www.recreation.gov,,
503,RICHARDSON CG,campground,USFS,,,,N,46.54083333,-110.7305556,http://www.recreation.gov,,
504,RUSSIAN FLAT CG,campground,USFS,,,,N,46.72773,-110.41081,http://www.recreation.gov,,
505,SAWMILL GULCH DISPERSED,campground,USFS,,,,N,46.884966,-110.3728552,http://www.recreation.gov,,
506,SOUTH FORK CG,campground,USFS,,,,Y,47.50111111,-112.8880556,http://www.recreation.gov,,
507,SPRING COULEE DISPERSED,campground,USFS,,,,N,47.03711601,-110.5128041,http://www.recreation.gov,,
508,SPRING CREEK,campground,USFS,,,,Y,46.58638889,-110.4666667,http://www.recreation.gov,,
509,SUMMIT CG,campground,USFS,,,,Y,48.31888889,-113.3505556,http://www.recreation.gov,,
510,THAIN CREEK CAMPGROUND,campground,USFS,,,,Y,47.47555556,-110.5852778,http://www.recreation.gov,,
511,TIMBER CR DISPERSED,campground,USFS,,,,N,46.72546576,-109.4852212,http://www.recreation.gov,,
512,VANDERIET MEMORIAL PILOTS CG,campground,USFS,,,,N,47.47555556,-112.8663889,http://www.recreation.gov,,
513,WEST FORK CG,campground,USFS,,,,Y,47.96111111,-112.8066667,http://www.recreation.gov,,
514,WHITETAIL CAMP,campground,USFS,,,,N,46.68232898,-110.5027988,http://www.recreation.gov,,
515,WOOD LAKE CG,campground,USFS,,,,Y,47.42777778,-112.7933333,http://www.recreation.gov,,
516,BIG LARCH CG COMPLEX,campground,USFS,,,,Y,47.18234,-113.48843,http://www.recreation.gov,,
517,BIG NELSON CG COMPLEX,campground,USFS,,,,N,47.0727,-112.91704,http://www.recreation.gov,,
518,BITTERROOT FLAT CG,campground,USFS,,,,Y,46.46802,-113.77189,http://www.recreation.gov,,
519,CABIN CITY CG,campground,USFS,,,,Y,47.37219,-115.2566,http://www.recreation.gov,,
520,CASCADE CG/TRHD,campground,USFS,,,,Y,47.3056,-114.82707,http://www.recreation.gov,,
521,CLARK MEMORIAL CG,campground,USFS,,,,Y,47.41802,-114.9739,http://www.recreation.gov,,
522,CLEARWATER CROSSING CG,campground,USFS,,,,N,46.90551,-114.80979,http://www.recreation.gov,,
523,COPPER KING CG,campground,USFS,,,,Y,47.61706,-115.19145,http://www.recreation.gov,,
524,DALLES CG,campground,USFS,,,,Y,46.55521,-113.71392,http://www.recreation.gov,,
525,DIAMOND LAKE CG,campground,USFS,,,,N,47.14927,-115.1816,http://www.recreation.gov,,
526,EARL TENNANT CG,campground,USFS,,,,Y,46.76944444,-114.4027778,http://www.recreation.gov,,
527,FISHTRAP LAKE CG,campground,USFS,,,,N,47.38,-115.25084,http://www.recreation.gov,,
528,GOLD RUSH CG/TRHD,campground,USFS,,,,Y,47.60422,-115.34404,http://www.recreation.gov,,
529,GRIZZLY CG,campground,USFS,,,,Y,46.57583,-113.65936,http://www.recreation.gov,,
530,HARRYS FLAT CG,campground,USFS,,,,Y,46.53,-113.74773,http://www.recreation.gov,,
531,KREIS POND PICNIC,campground,USFS,,,,N,47.10188,-114.42059,http://www.recreation.gov,,
532,LAKE ALVA CG COMPLEX,campground,USFS,,,,Y,47.32478,-113.58208,http://www.recreation.gov,,
533,LAKE INEZ CG COMPLEX,campground,USFS,,,,N,47.29562,-113.5713,http://www.recreation.gov,,
534,LAKESIDE CG (OLD ALVA),campground,USFS,,,,N,47.30277778,-113.6027778,http://www.recreation.gov,,
535,LEE CR CG,campground,USFS,,,,Y,46.70213,-114.5349,http://www.recreation.gov,,
536,LOLO CREEK CG AND PICNIC,campground,USFS,,,,Y,46.76984,-114.3868,http://www.recreation.gov,,
537,MISSOULA LAKE CG,campground,USFS,,,,N,47.06412,-115.11391,http://www.recreation.gov,,
538,MOORE LAKE CG,campground,USFS,,,,N,47.181565,-115.248996,http://www.recreation.gov,,
539,NORTON CG,campground,USFS,,,,Y,46.58885,-113.65605,http://www.recreation.gov,,
540,QUARTZ FLAT CG,campground,USFS,,,,Y,47.07661,-114.77037,http://www.recreation.gov,,
541,RAINY LAKE CG,campground,USFS,,,,N,47.33676,-113.58938,http://www.recreation.gov,,
542,RIVER POINT CG COMPLEX,campground,USFS,,,,Y,47.60734,-115.44092,http://www.recreation.gov,,
543,SEELEY LAKE CG COMPLEX,campground,USFS,,,,Y,47.59042,-114.76529,http://www.recreation.gov,,
544,SIRIA CG,campground,USFS,,,,N,46.42374,-113.71501,http://www.recreation.gov,,
545,SLOWEY CG,campground,USFS,,,,Y,47.5524,-115.50522,http://www.recreation.gov,,
546,TROUT CR CG,campground,USFS,,,,Y,47.11849,-114.86774,http://www.recreation.gov,,
547,W. FK. FISHTRAP CR CG,campground,USFS,,,,N,47.53104,-115.25834,http://www.recreation.gov,,
548,25 MILE CG,campground,USFS,,,,N,46.0732,-115.3752,http://www.recreation.gov,,
549,BIG FOG SADDLE,campground,USFS,,,,N,46.07131,-115.35865,http://www.recreation.gov,,
550,BLUE MOUNTAIN CG,campground,USFS,,,,N,45.3991,-116.39799,http://www.recreation.gov,,
