OBJECTID_1,OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparen,SymbolID
157,157,PHILIPSBURG BAY CAMPGROUND,campground,USFS, , ,0,Y,46.20922,-113.29441,http://www.recreation.gov,0, 
158,158,PIGEON CREEK CAMPGROUND,campground,USFS, , ,0,N,45.80036,-112.3965,http://www.recreation.gov,0, 
159,159,PINTLER CAMPGROUND,campground,USFS, , ,0,N,45.83917,-113.43394,http://www.recreation.gov,0, 
160,160,POTOSI CAMPGROUND,campground,USFS, , ,0,N,45.57328,-111.90435,http://www.recreation.gov,0, 
161,161,PRICE CREEK CAMPGROUND,campground,USFS, , ,0,Y,44.63659,-112.15716,http://www.recreation.gov,0, 
162,162,RACETRACK CAMPGROUND,campground,USFS, , ,0,N,46.28396,-112.94056,http://www.recreation.gov,0, 
163,163,RESERVOIR LAKE CAMPGROUND,campground,USFS, , ,0,Y,45.12381,-113.44822,http://www.recreation.gov,0, 
164,164,RIVERVIEW CAMPGROUND,campground,USFS, , ,0,Y,44.8842,-111.5768,http://www.recreation.gov,0, 
165,165,ROCK CREEK DISP SITE,campground,USFS, , ,0,N,45.52462223,-112.8460778,http://www.recreation.gov,0, 
166,167,SEYMOUR CREEK CAMPGROUND,campground,USFS, , ,0,N,45.98318,-113.18923,http://www.recreation.gov,0, 
167,168,SOUTH BOULDER UPPER DISPERSED SITE,campground,USFS, , ,0,N,45.62944445,-112.0336111,http://www.recreation.gov,0, 
168,169,SOUTH VAN HOUTEN CAMPGROUND,campground,USFS, , ,0,N,45.24451,-113.4755,http://www.recreation.gov,0, 
169,170,SPILLWAY CAMPGROUND,campground,USFS, , ,0,N,46.1264,-113.38719,http://www.recreation.gov,0, 
170,171,SPRING HILL CAMPGROUND,campground,USFS, , ,0,Y,46.17354,-113.17656,http://www.recreation.gov,0, 
171,172,STEEL CREEK CAMPGROUND,campground,USFS, , ,0,N,45.603415,-113.336572,http://www.recreation.gov,0, 
172,173,STONY CAMPGROUND,campground,USFS, , ,0,N,46.345155,-113.61116,http://www.recreation.gov,0, 
173,174,SURESHOT DISPERSED SITE,campground,USFS, , ,0,N,45.54944444,-111.9125,http://www.recreation.gov,0, 
174,175,TOLL MOUNTAIN CAMPGROUND,campground,USFS, , ,0,N,45.84567,-112.3666,http://www.recreation.gov,0, 
175,176,TWIN LAKES CAMPGROUND,campground,USFS, , ,0,Y,45.41418,-113.6885,http://www.recreation.gov,0, 
